"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","HTTP","",""
"pre_128cipher","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","No 128 cipher limit bug","",""
"SSLv2","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","not offered","",""
"SSLv3","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","not offered","",""
"TLS1","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"TLS1_1","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"TLS1_2","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
"TLS1_3","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","http/1.1","",""
"cipherlist_NULL","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_LOW","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"cipherlist_STRONG","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
"cipherorder_TLSv1_2","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","server","",""
"protocol_negotiated","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","ECDHE-RSA-AES256-GCM-SHA384, 256 bit ECDH (P-256)","",""
"FS","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
"FS_ciphers","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","yes","",""
"sessionresumption_ticket","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","not supported","",""
"sessionresumption_ID","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","supported","",""
"TLS_timestamp","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","random","",""
"cert_compression","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","N/A","",""
"clientAuth","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","none","",""
"cert_numbers","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","1","",""
"cert_signatureAlgorithm","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","OK","SHA256 with RSA","",""
"cert_keySize","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","matrix.agent.agriculture.tchap.gouv.fr/143.196.253.101","443","INFO","TLS Web Server Authentication","",""
