"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","INFO","HTTP","",""
"pre_128cipher","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","INFO","No 128 cipher limit bug","",""
"SSLv2","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","not offered","",""
"SSLv3","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","not offered","",""
"TLS1","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"TLS1_1","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"TLS1_2","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
"TLS1_3","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","INFO","http/1.1","",""
"cipherlist_NULL","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_LOW","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"cipherlist_STRONG_FS","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
"cipher_order-tls1_2","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","server","",""
"cipherorder_TLSv1_2","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","matrix.agent.intradef.tchap.gouv.fr/143.196.253.101","443","OK","server","",""
